date,prcp,snowdepth,snow
20150101,0,0,0
20150102,0,0,0
20150103,0.71,0,0
20150104,0.3,0,0
20150105,0,0,0
20150106,0.05,0,1
20150107,0,1.2,0
20150108,0,0,0
20150109,0.07,0,1.5
20150110,0,1.2,0
20150111,0,1.2,0
20150112,0.36,0,0
20150113,0,0,0
20150114,0,0,0
20150115,0,0,0
20150116,0,0,0
20150117,0,0,0
20150118,2.1,0,0
20150119,0,0,0
20150120,0,0,0
20150121,0,0,0
20150122,0,0,0
20150123,0,0,0
20150124,0.72,3.1,3.6
20150125,0,2,0
20150126,0.48,2,5.5
20150127,0.36,7.9,4.3
20150128,0,7.9,0
20150129,0.02,5.9,0
20150130,0.06,7.1,1
20150131,0,7.1,0
20150201,0.03,5.9,0.3
20150202,1.02,7.1,5
20150203,0,7.9,0
20150204,0,7.9,0
20150205,0,7.9,0
20150206,0,7.9,0
20150207,0.02,7.9,0
20150208,0,7.9,0
20150209,0.09,7.9,0
20150210,0.01,7.9,0.1
20150211,0,7.9,0
20150212,0,7.9,0
20150213,0,7.9,0
20150214,0.02,7.9,0.9
20150215,0,9.1,0
20150216,0,9.1,0
20150217,0.14,11.8,3.3
20150218,0,9.1,0
20150219,0,9.1,0
20150220,0,9.1,0
20150221,0.61,9.1,3
20150222,0.1,13,1
20150223,0,11.8,0
20150224,0,11.8,0
20150225,0,11.8,0
20150226,0,11,0
20150227,0,11,0
20150228,0,11,0
20150301,0.52,9.8,4.8
20150302,0,15,0
20150303,0.67,14.2,1.8
20150304,0.25,13,0
20150305,0.76,13,7.5
20150306,0,18.9,0
20150307,0,18.1,0
20150308,0,16.1,0
20150309,0.01,13,0
20150310,0.46,11,0
20150311,0.01,5.9,0
20150312,0,3.9,0
20150313,0,2,0
20150314,0.81,1.2,0
20150315,0,0,0
20150316,0,0,0
20150317,0.02,0,0
20150318,0,0,0
20150319,0,0,0
20150320,0.4,0,4.5
20150321,0,5.1,0
20150322,0,0,0
20150323,0,0,0
20150324,0,0,0
20150325,0.05,0,0
20150326,0.32,0,0
20150327,0.27,0,0
20150328,0,0,0
20150329,0,0,0
20150330,0,0,0
20150331,0.17,0,0
20150401,0,0,0
20150402,0,0,0
20150403,0.04,0,0
20150404,0.01,0,0
20150405,0,0,0
20150406,0,0,0
20150407,0.15,0,0
20150408,0,0,0
20150409,0,0,0
20150410,0.17,0,0
20150411,0,0,0
20150412,0,0,0
20150413,0,0,0
20150414,0.01,0,0
20150415,0,0,0
20150416,0,0,0
20150417,0.08,0,0
20150418,0,0,0
20150419,0,0,0
20150420,1.37,0,0
20150421,0.2,0,0
20150422,0.05,0,0
20150423,0,0,0
20150424,0,0,0
20150425,0,0,0
20150426,0,0,0
20150427,0,0,0
20150428,0,0,0
20150429,0,0,0
20150430,0,0,0
20150501,0,0,0
20150502,0,0,0
20150503,0,0,0
20150504,0,0,0
20150505,0,0,0
20150506,0,0,0
20150507,0,0,0
20150508,0,0,0
20150509,0,0,0
20150510,0,0,0
20150511,0,0,0
20150512,0,0,0
20150513,0,0,0
20150514,0,0,0
20150515,0,0,0
20150516,0.3,0,0
20150517,0.02,0,0
20150518,0,0,0
20150519,0,0,0
20150520,0,0,0
20150521,0,0,0
