date,entries_per_hour
2014-02-01,137358.7917
2014-02-02,114924
2014-02-03,212375.375
2014-02-04,251517.1667
2014-02-05,214415.3333
2014-02-06,258490.25
2014-02-07,258558.2917
2014-02-08,146001.875
2014-02-09,108976.7083
2014-02-10,244098.5417
2014-02-11,254628.5417
2014-02-12,251520.3333
2014-02-13,175377.125
2014-02-14,240588.7083
2014-02-15,136243.5
2014-02-16,115333.8333
2014-02-17,150190.2917
2014-02-18,229281.1667
2014-02-19,240304.2083
2014-02-20,247501.875
2014-02-21,236004.5
2014-02-22,148499.875
2014-02-23,115065.9167
2014-02-24,244443.8333
2014-02-25,251875
2014-02-26,250056.7083
2014-02-27,255180.125
2014-02-28,249760.5
2014-03-01,144336.125
2014-03-02,108997.0417
2014-03-03,233610.1667
2014-03-04,250785.5
2014-03-05,255956.0833
2014-03-06,259139.625
2014-03-07,256110.5
2014-03-08,153712.4167
2014-03-09,112206.4583
2014-03-10,240981.9167
2014-03-11,256490.625
2014-03-12,256572.25
2014-03-13,252333.5833
2014-03-14,254147
2014-03-15,153639.75
2014-03-16,119978.3333
2014-03-17,236874.125
2014-03-18,249960.6667
2014-03-19,253830.9583
2014-03-20,254178.0833
2014-03-21,254110.3333
2014-03-22,151393.7917
2014-03-23,117648.0417
2014-03-24,237756.1667
2014-03-25,248086.7083
2014-03-26,251124.2917
2014-03-27,255646.75
2014-03-28,250883.9167
2014-03-29,143944.375
2014-03-30,112154.7917
2014-03-31,237545.2083
2014-04-01,255673.0417
2014-04-02,257748.125
2014-04-03,260853.6667
2014-04-04,256994.0833
2014-04-05,155623.2917
2014-04-06,123781.6667
2014-04-07,244448.8333
2014-04-08,252288.5
2014-04-09,259298.875
2014-04-10,262311.9583
2014-04-11,257709.25
2014-04-12,159675.2083
2014-04-13,128172.75
2014-04-14,226750.125
2014-04-15,224235.25
2014-04-16,237213.5417
2014-04-17,245073.625
2014-04-18,216359.7917
2014-04-19,149833.25
2014-04-20,119783.4583
2014-04-21,218290.7083
2014-04-22,232209.0417
2014-04-23,255548.7917
2014-04-24,261392.7083
2014-04-25,259944.4167
2014-04-26,159102.1667
2014-04-27,127100.5417
2014-04-28,244257.9583
2014-04-29,255356.5
2014-04-30,251584.75
2014-05-01,256432
2014-05-02,259431.4167
2014-05-03,160111.8333
2014-05-04,124897.7083
2014-05-05,246377.0833
2014-05-06,258177.4583
2014-05-07,263104.875
2014-05-08,257824.5833
2014-05-09,257159.2917
2014-05-10,151900.4583
2014-05-11,123682
2014-05-12,245166.9583
2014-05-13,256951.2083
2014-05-14,261041.7083
2014-05-15,260472.8333
2014-05-16,254472.7917
2014-05-17,159313.9583
2014-05-18,133682.9583
2014-05-19,246491.625
2014-05-20,260059.25
2014-05-21,262442.4583
2014-05-22,260449.2917
2014-05-23,250082.0833
2014-05-24,138252.4583
2014-05-25,125309.5
2014-05-26,126612.1667
2014-05-27,243614.4583
2014-05-28,255125.0833
2014-05-29,256759.2083
2014-05-30,257754.9583
2014-05-31,152291.5
2014-06-01,125382.625
2014-06-02,242266.4583
2014-06-03,252387.25
2014-06-04,253689
2014-06-05,243025.625
2014-06-06,256385.9583
2014-06-07,158767.625
2014-06-08,134154.875
2014-06-09,235079.0417
2014-06-10,252553.3333
2014-06-11,256960.0833
2014-06-12,256593.375
2014-06-13,248540.75
2014-06-14,151021.4167
2014-06-15,123234
2014-06-16,239609.125
2014-06-17,253285.2083
2014-06-18,254981.625
2014-06-19,252891.125
2014-06-20,248807.9167
2014-06-21,160053.25
2014-06-22,128582.7917
2014-06-23,236994.4583
2014-06-24,247310.375
2014-06-25,250585.4583
2014-06-26,253443.4167
2014-06-27,244196.1667
2014-06-28,154623.8333
2014-06-29,134018.2917
2014-06-30,230911.1667
2014-07-01,239322.0417
2014-07-02,242308.125
2014-07-03,226483.4583
2014-07-04,115569.7917
2014-07-05,131175.0417
2014-07-06,115681.9583
2014-07-07,225661.9167
2014-07-08,238442.2917
2014-07-09,241791.1667
2014-07-10,244165.8333
2014-07-11,239319.7083
2014-07-12,150121.2083
2014-07-13,118759.75
2014-07-14,227446.7083
2014-07-15,235422.625
2014-07-16,240047.8333
2014-07-17,248363
2014-07-18,239104.9167
2014-07-19,149231.2917
2014-07-20,123962.125
2014-07-21,228592.7083
2014-07-22,245326.3333
2014-07-23,246368.125
2014-07-24,245691.3333
2014-07-25,239551.4583
2014-07-26,149683.2917
2014-07-27,121535.375
2014-07-28,225814.7917
2014-07-29,238187.6667
2014-07-30,246306.5
2014-07-31,242649.9583
2014-08-01,236709.5833
2014-08-02,140599.375
2014-08-03,120795.4167
2014-08-04,227632.5
2014-08-05,237885.125
2014-08-06,240488.2917
2014-08-07,242750.7917
2014-08-08,235150.3333
2014-08-09,149463.0417
2014-08-10,125142.25
2014-08-11,221882.4167
2014-08-12,230970.0833
2014-08-13,229578.7917
2014-08-14,235993.9583
2014-08-15,228635.5417
2014-08-16,143215.2917
2014-08-17,117332.1667
2014-08-18,214690.9583
2014-08-19,226615
2014-08-20,231247.25
2014-08-21,230581.2083
2014-08-22,222442.125
2014-08-23,141763.6667
2014-08-24,121931.3333
2014-08-25,215263.375
2014-08-26,225913.4167
2014-08-27,230919.4167
2014-08-28,233898
2014-08-29,224507
2014-08-30,141032.25
2014-08-31,117592.4167
2014-09-01,117129.3333
2014-09-02,229158.6667
2014-09-03,245029.2917
2014-09-04,256642.75
2014-09-05,253936.0417
2014-09-06,145928.875
2014-09-07,123422.25
2014-09-08,247677.1667
2014-09-09,257660.25
2014-09-10,262995.4167
2014-09-11,259879.6667
2014-09-12,260834.6667
2014-09-13,144299.6667
2014-09-14,120214.9583
2014-09-15,247835.2083
2014-09-16,257543.75
2014-09-17,264847.1667
2014-09-18,266143.5
2014-09-19,263838.9167
2014-09-20,159899.6667
2014-09-21,133590.9167
2014-09-22,254521.6667
2014-09-23,264382.125
2014-09-24,260431.4167
2014-09-25,223628.25
2014-09-26,233330.0833
2014-09-27,154302.8333
2014-09-28,127948.0833
2014-09-29,245916
2014-09-30,256132.3333
2014-10-01,261268.8333
2014-10-02,263223.8333
2014-10-03,256163.5
2014-10-04,134827.7083
2014-10-05,127333.4167
2014-10-06,248415
2014-10-07,260678.75
2014-10-08,264016.875
2014-10-09,261838.125
2014-10-10,258607.9583
